id,nombre,marca,imagen,precio_desde,precio_hasta
40084107,Huevo de Chocolate Sorpresa Kinder 20 Gr,KINDER,NULL,46.00,55.00
77903518,Galletitas Obleas Rellena Opera 92 Gr,OPERA,NULL,28.86,40.00
77914217,Tableta de Chocolate Shot 35 Gr,SHOT,NULL,26.97,35.90
77935274,Barra de Cereales con Frutilla Cereal Mix 28 Gr,CEREAL MIX,NULL,19.50,33.90
77939500,Huevo de Chocolate con Sorpresa Lei Kinder 20 Gr,KINDER,NULL,55.00,55.00
77939753,Chicle Seven Strong 14.7 Gr,TOP LINE,NULL,16.90,31.90
77953124,Chocolate con Mani Cofler Block 38 Gr,COFLER,NULL,30.44,48.30
77956262,Sal Fina en Salero Celusal 250 Gr,CELUSAL,NULL,62.90,89.00
77995407,Barra de Cereales Light con Yogur Frutilla y Fresa Cereal Mix 28 Gr,CEREAL MIX,NULL,19.50,33.90
77995513,Chocolate con Extra Menta Cofler 30 Gr,COFLER,NULL,25.90,29.90
77995681,Obleas Ban~adas de Chocolate Rhodesia 22 Gr,RHODESIA,NULL,13.22,22.70
78600010,Pastillas Tic Tac Menta Caja 16 Gr,TIC TAC,NULL,18.00,19.50
78600027,Pastillas Tic Tac Naranja Caja 16 Gr,TIC TAC,NULL,18.00,19.50
78602731,Huevo de Chocolate con Sorpresa Kinder 20 Gr,KINDER,NULL,36.00,55.00
78909434,Bombones Chocolate Avellana Ferrero Rocher 37.5 Gr,FERRERO ROCHER,NULL,55.00,61.00
80050315,Tableta de Chocolate Kinder 12.5 Gr,KINDER,NULL,15.00,16.50
37000185109,Papas Fritas Crema y Cebolla Pringles 40 Gr,PRINGLES,NULL,61.49,65.90
38000185069,Papas Fritas Barbacoa Pringles 160 Gr,PRINGLES,NULL,105.60,146.00
38000185083,Papas Fritas Pizza Pringles 124 Gr,PRINGLES,NULL,105.60,146.00
38000185199,Papas Fritas Sabor Jamon Pringles 124 Gr,PRINGLES,NULL,105.60,146.00
38000201172,Papa Fritas Original Navidad Pringles 149 Gr,PRINGLES,NULL,80.00,132.99
38000845246,Papas Fritas Sabor Original Pringles 67 Gr,PRINGLES,NULL,98.99,119.00
38000846748,Papas Fritas Cebolla Pringles 40 Gr,PRINGLES,NULL,30.00,66.00
40000017325,Mani con Chocolate M&M 150 Gr,M&M,NULL,149.00,169.00
41789001833,Sopa Instantanea Queso Maruchan 64 Gr,MARUCHAN,NULL,65.90,85.00
41789001918,Sopa Instantanea Pollo Maruchan 64 Gr,MARUCHAN,NULL,65.90,76.99
41789002915,Sopa Instantanea Pollo Maruchan 85 Gr,MARUCHAN,NULL,33.90,41.00
400000003108,Chocolate M&M 52 Gr,M&M,NULL,51.50,61.00
400000003276,Mani con Chocolate M&M 49 Gr,M&M,NULL,22.80,55.90
